id,famous_tname,gname
137,小叮噹哆啦A夢DORAEMON,玩偶、皮夾、錢包、腰包、鑰匙圈、電腦連接器、耳機、充電器、端子轉接器、資料傳輸線、鐘錶等商品
138,NIKE,玩偶、皮夾、錢包、腰包、鑰匙圈、電腦連接器、耳機、充電器、端子轉接器、資料傳輸線、鐘錶等商品
139,adidas,玩偶、皮夾、錢包、腰包、鑰匙圈、電腦連接器、耳機、充電器、端子轉接器、資料傳輸線、鐘錶等商品
140,PUMA,玩偶、皮夾、錢包、腰包、鑰匙圈、電腦連接器、耳機、充電器、端子轉接器、資料傳輸線、鐘錶等商品
141,Rilakkuma拉拉熊,玩偶、皮夾、錢包、腰包、鑰匙圈、電腦連接器、耳機、充電器、端子轉接器、資料傳輸線、鐘錶等商品
142,HelloKitty,玩偶、皮夾、錢包、腰包、鑰匙圈、電腦連接器、耳機、充電器、端子轉接器、資料傳輸線、鐘錶等商品
143,MYMELODY,玩偶、皮夾、錢包、腰包、鑰匙圈、電腦連接器、耳機、充電器、端子轉接器、資料傳輸線、鐘錶等商品
144,JAGUAR&DEVICE,跑車等商品
145,貓空纜車MaokongGondola,衣服、遊戲器具、餐廳等商品或服務
146,貓空纜車,衣服、遊戲器具、餐廳等商品或服務
147,卡洛塔妮Karihome,嬰幼兒營養保健食品及成人保健食品
148,卡洛塔妮Karihome,嬰幼兒營養保健食品及成人保健食品
149,卡洛塔妮Karihome,嬰幼兒營養保健食品及成人保健食品
150,MortalKombat,電玩遊戲、電影、數位光碟等電子商品不同
151,DELTAI,彈簧床、雙層床等商品
152,TEHTAI,彈簧床、雙層床等商品
153,DETAI,彈簧床、雙層床等商品
154,德泰,彈簧床、雙層床等商品
155,德泰,彈簧床、雙層床等商品
156,G-STAR,牛仔褲等商品
157,G-STAR,牛仔褲等商品
158,阿枝,小吃店、餐廳、羊肉乾、羊肉醬、羊肉湯等服務/商品
159,老行家,養生膳品及珍珠粉等商品
160,adidas英文,運動服裝、Ｔ恤及衣服等商品
161,chicco,婦幼用品等商品
162,QOO,水果飲料、果汁、果汁汽水等商品
163,CHANEL,個人數位助理器專用袋、個人數位助 理器專用套、手機外殼、裝飾品等相關商品
164,HelloKitty,個人數位助理器專用袋、個人數位助 理器專用套、手機外殼、裝飾品等相關商品
165,MYMELODY,個人數位助理器專用袋、個人數位助 理器專用套、手機外殼、裝飾品等相關商品
166,腳の眼鏡GOODARCH,足弓矯正器鞋組、鞋墊等商品
167,飛馬,油品、加油站等服務
168,GAP,衣服等商品
169,WaveDevice,運動服飾及用品
170,QUIKSILVERandMountainandWaveDevice,運動服飾及用品
171,WaveDevice,運動服飾等相關商品
172,MOUNTAINANDWAVEDEVICE,運動服飾等相關商品
173,飛牛,電腦動畫設計等服務
174,飛牛牧場,電腦動畫設計等服務
175,ASTONMARTIN&WingsDevice,汽車等商品
176,MILDSEVEN,香菸產品
177,FORKEDBADGEDEVICE,運動鞋等商品
178,老爺大酒店HotelRoyalTaipeiDevice,餐廳、旅館等服務
179,老爺,餐廳、旅館等服務
180,COCO,流行服飾、皮包、服飾配件、化妝品、香水等商品
181,七星,香煙等商品
182,MILDSEVEN,香煙等商品
183,SEVENSTARS,香煙等商品
184,吳記,喜餅、麵包等商品
185,Wahaha,飲料等商品
186,Wahaha,飲料等商品
187,娃哈哈,飲料等商品
188,鱷魚牌CROCODILE,內衣、睡衣等
189,鱷魚,內衣、睡衣等
190,Hlogoinblackandwhite,飯店、汽車旅館、提供住宿之服務等
191,HolidayInn﹝wordswithHlogoonpylondevice﹞,飯店、汽車旅館、提供住宿之服務等
192,HolidayInnExpress﹝wordswithHlogoonpylondevice﹞,飯店、汽車旅館、提供住宿之服務等
193,HolidayInnResort[wordswithHlogoonpylondevice],飯店、汽車旅館、提供住宿之服務等
194,H[LOGO]WITHHOLIDAYINNEXPRESSINCHINESECHARACTERS,飯店、汽車旅館、提供住宿之服務等
195,CROSS,筆類書寫工具及相關配件等商品
196,ANDROID,電腦軟、硬體、行動通訊商品、作業系統及網路相關服務
197,BURBERRYSCHECK格紋,衣服、香水等商品
198,蘋果,電腦、手機等商品
199,APPLE,電腦、手機等商品
200,DFS,綜合性商品零售服務
201,DFS,綜合性商品零售服務
202,BOTOX,肉毒桿菌素等商品
203,DowntonAbbey,電視節目製作及播送等相關商品或服務
204,唐頓莊園,電視節目製作及播送等相關商品或服務
205,膳魔師,保溫瓶等商品
206,施華洛世奇,水晶等商品
207,CPC,石油相關商品或服務
208,阿凡達Avatar,電影及其周邊商品
209,R,唱片、化妝品等商品
210,GLOCK,手槍、模擬手槍等商品
211,宮保第,提供文化古蹟相關之參訪服務及周邊商品
212,DADASUPREME&Design,衣服，帽，上衣，褲，裙，內衣，襪
"    ，鞋""",,
213,CHANEL,各種書包、手提箱袋、旅行袋、皮夾
214,STAPLES,家具、辦公家具等相關商品
215,7-ELEVEN&Design,綜合性之商品零售服務
216,7-ELEVEN&Designinblackandwhite,綜合性之商品零售服務
217,7-ELEVEN&Designincolor,綜合性之商品零售服務
218,DEPO光形,車燈、霧燈等商品
219,DEPO,車燈、霧燈等商品
220,ESDEPO,車燈、霧燈等商品
221,帝寶DEPO,車燈、霧燈等商品
222,鹹蛋超人,卡通及其周邊商品
223,CHANEL,衣服等商品
224,武媚娘傳奇THEEMPRESSOFCHINA,戲劇等商品
225,N次貼,便條、便箋等
226,Choc恰女生,少女街頭流行文化及相關之服飾等商品
227,LittleTwinStars,手機吊飾、手機裝飾品等
228,HELLOKITTY側臉,端子轉接器、行李吊牌等
229,HELLOKITTY,端子轉接器、行李吊牌等
230,HELLOKITTY輪廓圖,端子轉接器、行李吊牌等
231,HELLOKITTY,端子轉接器、行李吊牌等
232,R,娛樂事業等服務
233,TTL,酒等商品
234,TTL台灣菸酒,酒等商品
235,BOSS,香水等商品
236,BOSSHUGOBOSS,香水等商品
237,誠品eslite,書店等服務
238,BMW,車輛、車輛修理保養及車輛代理進出口等多類商品及服務
239,KUGA,汽車商品
