id,famous_tname,gname
519,CAMUS,酒等商品
520,香奈兒,化妝品等商品及化妝品零售服務
521,EPSON,電腦、音響等商品
522,AppleLogo,電腦等商品
523,ＬＥＧＯ,組合玩具、積木等商品
524,EPSON,電腦等商品
525,AppleLogo,螢幕保護貼等商品
526,POPEYE,漫畫、卡通、衣服、手提袋、寢具等商品或服務
527,POPEYE,漫畫等商品
528,JADORE,香水、淡香水等商品
529,KSS,金屬五金及其零組件相關商品
530,KSS,金屬五金及其零組件相關商品
531,凱士士KSS,金屬五金及其零組件相關商品
532,STARLogo,電視播送、表演節目製作等影音娛樂服務
533,STAR&Logo,電視播送、表演節目製作等影音娛樂服務
534,CroppedBoxLogo,電視播送、表演節目製作等影音娛樂服務
535,STARwithCroppedBoxLogo,電視播送、表演節目製作等影音娛樂服務
536,STARMOVIESLOGO,電視播送、表演節目製作等影音娛樂服務
537,JADORE,香水等商品
538,jadore,香水等商品
539,STARLogo,影音娛樂等服務
540,STAR&Logo,影音娛樂等服務
541,CroppedBoxLogo,影音娛樂等服務
542,STARwithCroppedBoxLogo,影音娛樂等服務
543,STARMOVIESLOGO,影音娛樂等服務
544,STARTV&Logo,影音娛樂等服務
545,STARWORLDwithCroppedBoxLogo,影音娛樂等服務
546,STARWORLDwithcircle,影音娛樂等服務
547,STARWORLDwithLogo,影音娛樂等服務
548,STARWORLD,影音娛樂等服務
549,雅方,冰品、冷凍食品等商品
550,JADORE,香水等商品
551,jadore,香水等商品
552,COCO,香水等商品
553,MACANNA,鞋靴皮件等商品
554,HOPPECKE,蓄電池及供電(能)系統等商品
555,HOPPECKEanddevice,蓄電池及供電(能)系統等商品
556,CATHAYPACIFIC,運輸、貨運及旅遊等相關服務
557,COCO,香水等商品
558,CIRCLEDEVICE,電梯及電扶梯等商品及安裝等相關服務
559,CORNING,強化玻璃、柴油顆粒濾清器、光纖傳輸線等商品
560,康寧,強化玻璃、柴油顆粒濾清器、光纖傳輸線等商品
561,御茶園,茶飲料等相關商品
562,TopFORMULA-1andDesign,汽車潤滑油、汽車養護品及添加劑等商品
563,SWATCH,鐘錶、貴金屬及其合金等商品
564,ROCKSTAR,提神飲料商品
565,ROCKSTARENERGYDRINK,提神飲料商品
566,五星雙R,提神飲料商品
567,SWATCH,鐘錶等商品
568,CUIREPIfigurative,皮革及人造皮；旅行袋，行李箱，旅行用皮夾，旅行用皮件，皮箱，手提行李箱，保護衣服用之攜帶提袋，不含化𧬺用品之化𧬺箱，背囊，附肩袋之女用手提包，手提袋，公事箱，公事包，錢囊，口袋型皮夾，小錢包，鑰匙包，信用卡用皮夾，支票簿用皮夾，支票簿皮夾，手拿式文件包，雨傘
569,adidasVersionstylizedwordmark,各種衣服等
570,APPLE,電腦等商品
571,APPLE蘋果,電腦等商品
572,蘋果,電腦等商品
573,APPLE,電腦等商品
574,APPLELOGO,電腦等商品
575,蘋果,電腦等商品
576,APPLE,電腦等商品
577,APPLELOGO,電腦等商品
578,蘋果,電腦等商品
579,御茶園,茶飲料等商品
580,CORNING,行動裝置等商品
581,康寧,行動裝置等商品
582,JADORE,香水等商品
583,jadore,香水等商品
584,APPLE,電腦等商品
585,APPLELOGO,電腦等商品
586,蘋果,電腦等商品
587,MOD中華電信,供電腦資訊或電子郵件及信息之傳送服務，資訊及新聞傳送之電信服務等
588,Nstylized,男、女及孩童鞋靴、襪子及衣服。
589,蘋果APPLE,計算機
590,APPLELogo,為客戶提供軟體系統之設計服務
591,蘋果APPLE,為客戶提供軟體系統之設計服務、電腦機件之修繕及維護服務
592,國立政治大學政大,知識傳授等商品或服務
593,政大,知識傳授等商品或服務
594,政大,知識傳授等商品或服務
595,CHANEL,行動電話保護盒及保護套等商品
596,VolezVoguezVoyagezavecdesvalisesLOUISVUITTON,旅行袋、背包、手提包、購物袋、書包等
597,日月光,半導體相關產業之商品或服務
598,QQ,即時通訊軟體等相關服務
599,TOTAL,潤滑油及燃料之化學添加劑等商品
600,TOTAL+LogoEnergieincolours,潤滑油及燃料之化學添加劑等商品
601,GORILLA,特殊強化玻璃等商品
602,CORNINGGORILLAGLASSNBT,特殊強化玻璃等商品
603,光陽,機車、活塞等商品
604,K,燈泡、帽燈等，割草機等，汽車及其零組件等
605,TOTAL,石油天然氣等服務
606,TOTAL+LogoEnergieincolours,石油天然氣等服務
607,CORNING,行動裝置等商品
608,康寧,行動裝置等商品
609,CORNING,行動裝置等商品
610,康寧,行動裝置等商品
611,小磨坊,辛香料等商品
612,紅色樹莓,電腦、記憶體等相關商品
613,RASPBERRYPI,電腦、記憶體等相關商品
614,樹莓派,電腦、記憶體等相關商品
615,GS,電池、蓄電池等商品
616,GS,電池、蓄電池等商品
617,NHK,廣播電視節目之服務
618,APPLE,電腦等商品
619,APPLELOGO,電腦等商品
620,蘋果,電腦等商品
621,RasperryPie,電腦等商品
622,樹莓派,電腦等商品
623,DIOR,化妝品、香水等商品
624,迪奧,化妝品、香水等商品
625,K,機車、機車零組件等商品或服務
626,德泰,彈簧床等商品
627,TEHTAI,彈簧床等商品
628,德泰,彈簧床等商品
629,阿明師,糕餅類商品
630,OSRAM,照明燈具及燈泡等商品
631,DIESEL,牛仔褲、服裝、鞋子、手鐲、皮包等商品
632,VANS,鞋子等商品
633,adidas+3stripesdevice,運動用衣服、靴鞋、手提袋、運動用球等商品
634,adidas+EQUIPMENT+device,運動用衣服、靴鞋、手提袋、運動用球等商品
635,adidas,運動用衣服、靴鞋、手提袋、運動用球等商品
636,CAMPER,皮件、靴鞋等商品
637,CSBC,造船工程設計等，海運運輸等，造船等，船舶零售及船舶零件配備零售等，船舶及其零組件等
638,RIMOWA,行李箱等商品
639,N°5,服裝等商品
640,VENDOMEAOYAMA,珠寶、首飾等商品
641,LOUISXIII,酒類商品
642,F1FORMULA1Logo,工業用油及油脂等
643,STARLogo,影音娛樂等服務
644,STAR&Logo,影音娛樂等服務
645,CroppedBoxLogo,影音娛樂等服務
646,STARwithCroppedBoxLogo,影音娛樂等服務
647,STARMOVIESLOGO,影音娛樂等服務
648,STARTV&Logo,影音娛樂等服務
649,STARWORLDwithCroppedBoxLogo,影音娛樂等服務
650,STARWORLDwithcircle,影音娛樂等服務
651,STARWORLDwithLogo,影音娛樂等服務
652,STARWORLD,影音娛樂等服務
653,STARLogo,影音娛樂等服務
654,STAR&Logo,影音娛樂等服務
655,CroppedBoxLogo,影音娛樂等服務
656,STARwithCroppedBoxLogo,影音娛樂等服務
657,STARMOVIESLOGO,影音娛樂等服務
658,STARTV&Logo,影音娛樂等服務
659,STARWORLDwithCroppedBoxLogo,影音娛樂等服務
660,STARWORLDwithcircle,影音娛樂等服務
661,STARWORLDwithLogo,影音娛樂等服務
662,STARWORLD,影音娛樂等服務
663,STARLogo,影音娛樂等服務
664,STAR&Logo,影音娛樂等服務
665,CroppedBoxLogo,影音娛樂等服務
666,STARwithCroppedBoxLogo,影音娛樂等服務
667,STARMOVIESLOGO,影音娛樂等服務
668,STARTV&Logo,影音娛樂等服務
669,STARWORLDwithCroppedBoxLogo,影音娛樂等服務
670,STARWORLDwithcircle,影音娛樂等服務
671,STARWORLDwithLogo,影音娛樂等服務
672,STARWORLD,影音娛樂等服務
673,FancifulDesignofCartoonCharactersDPF-1,旅行社業務，安排露營，遊覽，觀光旅行，冷熱飲料店，飲食店，小吃店，茶室，餐廳，咖啡廳，啤酒屋，酒吧；賓館，旅社，旅館。
674,POPEYEandDesign,靴鞋
675,ＰＯＰＥＹＥ,餐宿、安排觀光旅行等服務及衣服、靴鞋、書刊、玩具、光碟、食品...等商品
676,POPEYEDesign,靴鞋
677,AppleLogo,手機等商品
678,MOTOREX,潤滑油、機油商品
679,TWITTER,即時通訊、電信傳輸、廣告、社交等相關服務
680,中華,書籍、新聞雜誌、圖畫、照片等印刷商品
681,MOTOREX,潤滑油等商品
682,TWITTER,社交網路、網誌等服務
683,MOTOREX,潤滑油等商品
684,全聚德,烤鴨、豆漿、奶粉、豆花、食用油、果凍、牛肉乾、魚丸、肉類速食調理包。高湯、冷凍果蔬、糖漬果蔬、醬菜、滷蛋、果醬、雞精、豆乾。烤鴨。餐廳、旅館、養老院、空廚、會議室出租。餐廳。
685,OMEGA＋Ω,錶及其組件。
686,OMEGA+Ω,照相終點記錄機，測距機，數字顯示板，旋轉計分顯示板，計分顯示板，顯像矩陣看板，燈泡型矩陣顯示器，影像顯示器，電子廣告牌，發光二極體顯示器，液晶顯示器，電腦及計算機。
687,OMEGAART,錶及其組件。
688,OMEGADYNAMIC,鐘錶及其零組件；計時儀器。
689,歐米茄OMEGAinChinesecharacters,鐘錶及其他計時儀器。
690,H&M,服飾等商品及相關服務
691,H&MHOMEDevice,服飾等商品及相關服務
692,H＆MDeviceinred,服飾等商品及相關服務
693,RedBullEnergyDrink&Deviceincolor,提神飲料等商品
694,BULLstylized,無酒精飲料等商品
695,RedBull,礦泉水等商品
696,英國皇家愛樂,演奏音樂等服務
697,APPLELogo,電腦軟硬體及其周邊設備等商品
698,蘋果APPLE,電腦軟硬體及其周邊設備等商品
699,蘋果APPLE,電腦軟硬體及其周邊設備等商品
700,蘋果,電腦軟硬體及其周邊設備等商品
701,施華洛世奇,水晶、珠寶飾品等商品
702,施華洛世奇,水晶、珠寶飾品等商品
703,施華洛,水晶、珠寶飾品等商品
704,GoodARCH腳の眼鏡,足弓矯正器、足弓矯正器鞋組等相關商品
705,GOODARCH,足弓矯正器、足弓矯正器鞋組等相關商品
706,GoodARCH,足弓矯正器、足弓矯正器鞋組等相關商品
707,GoodARCH,足弓矯正器、足弓矯正器鞋組等相關商品
708,GOODARCH好足基,足弓矯正器、足弓矯正器鞋組等相關商品
709,腳の眼鏡GOODARCH,足弓矯正器、足弓矯正器鞋組等相關商品
710,腳の眼鏡GoodARCH,足弓矯正器、足弓矯正器鞋組等相關商品
711,悟,餐廳等服務
712,DFS,綜合性商品零售服務
713,VALENTINO,衣服、冠帽等商品
714,埃索ESSOINCHINESEPRONOUNCEDAI-SUO,機油等商品
715,CSCEC,房屋建築、國際工程外包等服務
716,埃索ESSOINCHINESEPRONOUNCEDAI-SUO,機油等商品
717,茶裏王,茶葉、茶飲料商品
718,茶裏王,茶葉、茶飲料商品
719,BATEMBLEM,電影片、漫畫書、衣服、運動遊戲器具等商品
720,STARWORLD,電視播送、表演節目製作等影音娛樂服務
721,STARwithCroppedBoxLogo,電視播送、表演節目製作等影音娛樂服務
722,StarTV＆LOGO,電視播送、表演節目製作等影音娛樂服務
723,STAR＆LOGO,電視播送、表演節目製作等影音娛樂服務
724,STARMOVIESLOGO,電視播送、表演節目製作等影音娛樂服務
725,STARWORLDwithLogo,電視播送、表演節目製作等影音娛樂服務
726,日盛,股票買賣業務及金融證券商等業務
727,新日盛,股票買賣業務及金融證券商等業務
728,日盛,股票買賣業務及金融證券商等業務
729,新日盛,股票買賣業務及金融證券商等業務
730,旭硝子,玻璃基板商品
731,AMD,處理器與晶片等產品
732,ALBA,鐘錶商品
733,TT,面膜、化粧品、保養品及其相關商品
734,POPEYE,漫畫、卡通等商品
735,POPEYEandDesign,漫畫、卡通等商品
736,virbac,動物用藥品、醫用飼料添加劑、消毒劑、殺菌劑等相關商品
737,MIUMIUStylized,男裝，女裝，童裝，外套，雨衣，背心，寬鬆上衣，套頭衣，夾克，褲子，裙子，洋裝，套裝，襯衫，女貼身襯衣，Ｔ恤，毛衣，內衣，短襪，長襪，服飾用禦寒用手套，領帶，圍巾，冠帽，服飾用皮帶，靴，鞋，拖鞋
738,EVERLIGHT,LED燈等相關產品
739,Tiffany,珠寶、鑽石、首飾、鐘錶、飾品、香水、絲用等精品
740,Tiffany,珠寶、鑽石、首飾、鐘錶、飾品、香水、絲用等精品
741,Tiffany,珠寶、鑽石、首飾、鐘錶、飾品、香水、絲用等精品
742,ManchesterUnitedCrestDeviceMark,DVD光碟、T恤、夾克、帽子、貼紙、旗子、明信片、襪子等商品
743,LINE,即時通訊軟體等商品/服務
744,OSCARandStatuette,電影片、錄影帶、唱片及錄音帶之製作及發行服務；電台及電視育樂節目之策劃及製作服務；有關電影片頒獎典禮之現場表演節目及電視節目之策劃及製作；舉辦電影戲劇展覽；舉辦對電影工業有特殊成就者之頒獎活動等服務
745,OSCAR,電影片、錄影帶、唱片及錄音帶之製作及發行服務；電台及電視育樂節目之策劃及製作服務；有關電影片頒獎典禮之現場表演節目及電視節目之策劃及製作；舉辦電影戲劇展覽；舉辦對電影工業有特殊成就者之頒獎活動等服務
746,奧斯卡OSCARinChineseCharacters,電影片、錄影帶、唱片及錄音帶之製作及發行服務；電台及電視育樂節目之策劃及製作服務；有關電影片頒獎典禮之現場表演節目及電視節目之策劃及製作；舉辦電影戲劇展覽；舉辦對電影工業有特殊成就者之頒獎活動等服務
747,TAIPEI101,百貨公司及購物中心等相關服務
748,台北101,百貨公司及購物中心等相關服務
749,TAIPEI101,百貨公司及購物中心等相關服務
750,台北101,百貨公司及購物中心等相關服務
751,TTL台酒生技,酒、食品、營養補充品、化粧品等商品
752,TTL,酒、食品、營養補充品、化粧品等商品
753,TTL台灣菸酒,酒、食品、營養補充品、化粧品等商品
754,龍鳳,冷凍水餃等冷凍食品
755,SIMILAC,醫療用營養補充劑、醫用營養品、兒童營養補充品、嬰兒奶粉、嬰兒食品罐頭、乳粉、乳水、牛奶製品等商品
756,SIMILAC,醫療用營養補充劑、醫用營養品、兒童營養補充品、嬰兒奶粉、嬰兒食品罐頭、乳粉、乳水、牛奶製品等商品
757,YOOX,化妝品，香水，清潔亮光劑，去污劑，研磨劑，人體和非人體用肥皂，香精油，髮水，牙粉，牙膏等商品或服務
758,LOUISXIII,酒類商品
759,CORNING,特殊強化玻璃等商品
760,康寧,特殊強化玻璃等商品
761,中華郵政,郵政等相關商品及服務
762,中華郵政郵徽圖,郵政等相關商品及服務
763,中華郵政,郵政等相關商品及服務
764,中華郵政郵徽圖,郵政等相關商品及服務
765,快樂兒童餐HappyMealinChinsese,速食餐飲商品及速食餐廳服務
766,春水堂,結合專賣茶飲、茶食、餐點、茶葉、茶具等之喫茶店
767,VOTIVO,香氛蠟燭、香氛噴霧、擴香瓶等香氛商品
768,VOTIVOV字雙箭頭,香氛蠟燭、香氛噴霧、擴香瓶等香氛商品
769,HOYA,眼鏡鏡片商品
770,HOYANEWLOGO,眼鏡鏡片商品
771,卡地亞,珠寶、鐘錶商品
772,ICEBERG,服裝商品
773,TEXASRANGERS,電視播送、表演節目製作等影視娛樂服務
774,adidas,服飾商品
775,PUMA,服飾商品
776,支付宝,第三方網上支付平台服務
777,BOSS,服飾、皮件及流行配件等相關商品或服務
778,COCO,香水、化粧品及皮件等商品
779,COCO,香水、化粧品及皮件等商品
780,H環圈,項鍊、耳環等
781,HERMES馬車,項鍊、耳環等
782,GUCCI,項鍊等
783,雙G,項鍊等
784,雙G組合,手鐲、戒子等
785,Dior,耳環等
786,adidasVersionstylizedwordmark,各種衣服等商品
787,MICKEYMOUSE&Device,玩具、流行服飾配件、家居用品、文具、食品、寵物用品、消費性電子產品、書籍、電影片、錄影帶、錄音帶、唱片、出版品、遊戲軟體、遊樂園、迪士尼電視頻道之米奇妙妙屋節目等商品及服務
788,MICKEYMOUSE&Device,玩具、流行服飾配件、家居用品、文具、食品、寵物用品、消費性電子產品、書籍、電影片、錄影帶、錄音帶、唱片、出版品、遊戲軟體、遊樂園、迪士尼電視頻道之米奇妙妙屋節目等商品及服務
789,日盛,股票買賣業務及金融證券商等業務
790,新日盛,股票買賣業務及金融證券商等業務
791,TutorABC,線上美語教學
792,A8,汽車等相關商品或服務
793,台塑,塑膠、石化、生物科技等商品及其教育和醫療服務
794,jadore,香水、淡香水等商品
795,jadore,香水、淡香水等商品
796,jadore,香水、淡香水等商品
797,BURBERRY,衣服、鞋子等服飾商品
798,日盛,股票買賣業務及證券商業務
799,新日盛,股票買賣業務及證券商業務
800,日盛,股票買賣業務及證券商業務
801,新日盛,股票買賣業務及證券商業務
802,NEXT,男裝，女裝，童裝，運動服，休閒服，泳裝
803,nextlogo,男女服裝、運動服、休閒服、童裝、泳裝
804,中華郵政,郵政等相關商品及服務
805,中華郵政郵徽圖,郵政等相關商品及服務
806,DoubleBullDevice,能量飲料商品
807,REDBULL,能量飲料等商品
808,DoubleBullDevice,能量飲料等商品
809,皇冠,皮包、手提包等商品
810,ESPRIQUE,粉底霜、化妝品等商品
811,海角七號,電影片
812,中華雲市集hicloudMall,於開放式雲端應用交易平台，提供軟體開發商網路平台使用及維護、上架產品測試、推廣行銷、客戶款項代收等服務
813,BURBERRY,手錶、時鐘及鐘錶零組件；仿製珠寶；貴金屬製品，即指珠寶、領帶夾、袖扣、珠寶裝飾品、胸針、煙灰缸、盤子、雕像
814,BURBERRY,有關衣服、靴鞋、帽子、頭巾、手提包、皮箱、香水、裝飾品、傘、手錶、珠寶、家庭用品、蠟燭、禮品、眼鏡、化妝品、手機套、個人音響架及皮革製品即皮袋、皮帶、衣服、個人收納盒、日記套之零售服務
815,BURBERRY,手錶、時鐘及鐘錶零組件，腕表、錶帶、表鐲及懷錶，珠寶，仿製珠寶，領帶夾及袖扣
816,EquestrianKnightDevice,手錶、時鐘及鐘錶零組件，腕表、錶帶、表鐲及懷錶，珠寶，仿製珠寶，領帶夾及袖扣
817,BurberryCheck,手錶、時鐘及鐘錶零組件，腕表、錶帶、手鐲表及懷錶，珠寶，仿製珠寶，領帶夾及袖扣
818,哈佛大學科學院,企業研究服務；企業經營管理諮詢顧問服務
819,哈佛,教育服務，即提供：在校生、畢業生、研究生及博士程度之教育服務及訓練；提供有關入學許可資訊，學術及其研究計畫資訊，出版資訊，體育資訊，職業訓練資訊
820,哈佛商業評論中文版HARVARDBUSINESSREVIEWINCLASSICCHINESESCRIPT,印刷出版品、雜誌、教育書刊、指南、書籍、簡訊及有關商業、時事及政治之雜誌；紙製錦旗、紙製三角錦旗、海報、轉印紙、書籤、桌上型記事簿、拆信刀、活頁夾、便簽、筆記簿、筆、鉛筆、鉛筆筒及筆筒、書寫用紙、名片夾、貼紙、包裝用紙製封套、紙製包裝袋、塑膠製包裝袋及包裝用塑膠膜
821,ChiaraFerragniCHIARAFERRAGNI,服飾、靴鞋、皮包等相關配件商品
822,假日飯店HOLIDAYINNPRONOUNCEDJIARIFANDIAN,飯店服務
823,HOLIDAYINNEXPRESSLOGO,飯店服務
824,HOLIDAYINN,飯店服務
825,HOLIDAYINN,飯店服務
826,H[LOGO]WITHHOLIDAYINNEXPRESSINCHINESECHARACTERS,飯店服務
827,Hlogoinblackandwhite,飯店服務
828,BIOEFFECT,護膚等商品或服務
829,APPLE,電腦軟硬體及其周邊設備等商品或服務
830,APPLELOGO,電腦軟硬體及其周邊設備等商品或服務
831,蘋果,電腦軟硬體及其周邊設備等商品或服務
832,蘋果APPLE,電腦軟硬體及其周邊設備等商品或服務
833,APPLE,電腦軟硬體及其周邊設備等相關商品/服務
834,APPLELOGO,電腦軟硬體及其周邊設備等相關商品/服務
835,蘋果,電腦軟硬體及其周邊設備等相關商品/服務
836,蘋果APPLE,電腦軟硬體及其周邊設備等相關商品/服務
837,中華雲市集hicloudMall,雲端應用平台等服務
838,BOSS,服飾、皮件及流行配件等相關商品或服務
839,NIVEA,人體用潤膚、防曬乳液等化粧品、防曬產品
840,GS,電池、蓄電池等商品
841,GSLogo,電池、蓄電池等商品
842,GS&Device,電池、蓄電池等商品
843,APPLE,電腦軟硬體及其周邊設備等相關商品/服務
844,APPLELOGO,電腦軟硬體及其周邊設備等相關商品/服務
845,蘋果,電腦軟硬體及其周邊設備等相關商品/服務
846,蘋果APPLE,電腦軟硬體及其周邊設備等相關商品/服務
847,卡地亞,珠寶、鐘錶商品
848,momo,電視購物、網路購物及型錄購物等相關服務
849,momo,電視購物、網路購物及型錄購物等相關服務
850,LEGO,玩具等商品
851,樂高,玩具等商品
852,CUIREPIfigurative,皮革及人造皮；旅行袋，行李箱，旅行用皮夾，旅行用皮件，皮箱，手提行李箱，保護衣服用之攜帶提袋，不含化粧用品之化粧箱，背囊，附肩袋之女用手提包，手提袋，公事箱，公事包，錢囊，口袋型皮夾，小錢包，鑰匙包，信用卡用皮夾，支票簿用皮夾，支票簿皮夾，手拿式文件包，雨傘
853,TAIPEI101,百貨公司及購物中心等相關服務
854,台北101,百貨公司及購物中心等相關服務
855,MILKA,巧克力商品
856,歐舒丹,化妝品等相關商品
857,MAKERBOT,製作3D立體形狀之印表機
858,MAKERBOT,製作3D立體形狀之印表機
859,MILKA,巧克力商品
860,旺旺,米果等商品
861,Carrefour&Logo,電視機、電唱機、收音機、錄音機、電話機、傳真機、天線、濾波器、映像管、晶片、半導體、積體電路、耳機、頭戴收話器、電視放大鏡、電視機濾光網片、電視電腦護目網、無線電呼叫器、聲音收錄複製傳送器、無線電接收發送器、無線電接收器、無線電傳輸器、無線電傳送接收組合器、電視接收器、電視接收及無線電波傳輸組合器、視頻傳送機及電視接收器、閉路電視機、手握式無線電發報機及收報機、喇叭、麥克風、行動電話、汽車用無線電對講機、汽車用無線電收發器
862,家樂福,船舶及其零組件；飛機及其零組件；軌道車輛及其零組件；自行車及其零組件；汽、機車及其零組件；水上摩托車；汽車椅套、車蓬、手把套、方向盤套、貨車帳蓬、汽機車蓬套；降落傘；輪胎、內胎、外胎、補胎膠片、胎面帶（環）；車輛用平面膠帶、輸送膠帶（皮帶）、傳動膠帶（皮帶）；纜車；手推車、嬰兒車；獸力車輛；車輛用防盜警報器；堆高機、棧板車、托板車
863,多多,乳酸菌飲料等相關飲料商品
864,春水堂,結合專賣茶飲、茶食、餐點、茶葉、茶具等之喫茶店
865,STUDIOA,販售3C商品及提供相關商品之維修服務
866,STUDIOA,販售3C商品及提供相關商品之維修服務
867,D,表彰球隊及其周邊商品及相關服務
868,CROWNTOWERS,飯店、休閒娛樂等服務
869,CROWN,飯店、休閒娛樂等服務
870,CROWNDevice,飯店、休閒娛樂等服務
871,好市多,「綜合性商品零售」服務
872,日盛,股票買賣業務及證券商業務相關事業
873,新日盛,股票買賣業務及證券商業務相關事業
874,御茶園,茶飲料等商品
875,御茶園,茶飲料等商品
876,御茶園,茶飲料等商品
877,松柏嶺受天宮,籌劃宗教集會、代辦法會服務
878,御茶園,茶飲料等商品
879,御茶園,茶飲料等商品
880,御茶園,茶飲料等商品
881,jadore,香水、淡香水等商品
882,JADORE,香水、淡香水等商品
883,MasakiMatsushima,眼鏡及其組件、太陽眼鏡、眼鏡框、眼鏡盒等商品
884,ChristianDior,眼鏡及其組件、太陽眼鏡、眼鏡框、眼鏡盒等商品
885,PumaandjumpingPuma,眼鏡及其組件、太陽眼鏡、眼鏡框、眼鏡盒等商品
886,GUCCI,眼鏡及其組件、太陽眼鏡、眼鏡框、眼鏡盒等商品
887,雙G1,眼鏡及其組件、太陽眼鏡、眼鏡框、眼鏡盒等商品
888,雙G2,眼鏡及其組件、太陽眼鏡、眼鏡框、眼鏡盒等商品
889,綠紅綠三橫條色彩,眼鏡及其組件、太陽眼鏡、眼鏡框、眼鏡盒等商品
890,雙G,眼鏡及其組件、太陽眼鏡、眼鏡框、眼鏡盒等商品
891,PRADA,眼鏡及其組件、太陽眼鏡、眼鏡框、眼鏡盒等商品
892,CHANEL,眼鏡及其組件、太陽眼鏡、眼鏡框、眼鏡盒等商品
893,雙C,眼鏡及其組件、太陽眼鏡、眼鏡框、眼鏡盒等商品
894,BVLGARI,眼鏡及其組件、太陽眼鏡、眼鏡框、眼鏡盒等商品
895,BURBERRY,眼鏡及其組件、太陽眼鏡、眼鏡框、眼鏡盒等商品
896,Chloe,眼鏡及其組件、太陽眼鏡、眼鏡框、眼鏡盒等商品
897,BENTLEY,汽車及其零組件等商品或服務
898,DUCATI,船舶及其零組件；氣墊式車輛、飛機及其零組件；鐵軌列車及其零組件；汽車及其零組件；機車／自行車及其零組件，即：鏈輪、曲柄、空氣泵（自行車用泵）、車鈴、車座墊、車軸、車架、車輪輻、輪胎、鏈條、鏈條箱、內胎、擋泥板、車把手、車用行李箱、車輪轂、自行車把手、飛輪、車骨架、車踏板、前支叉、輪圈、車胎、車內胎；輪椅；貨物用纜線運輪機；車輛用馬達（非電動者）及其零組件，即：內燃機、蒸氣引擎、噴射引擎；車輛用機器組件，即：軸心／輪軸／主軸，軸頸，聯軸／軸連結器，軸承；動力傳送器；吸震器；彈簧；剎車器；車輛用交流電馬達／直流電馬達；修理內胎／輪胎用黏性橡膠補片；車輛用防盜警報器
899,APPLE,電腦、電腦軟體及其相關產品與服務
900,APPLELOGO,電腦、電腦軟體及其相關產品與服務
901,蘋果,電腦、電腦軟體及其相關產品與服務
902,蘋果APPLE,電腦、電腦軟體及其相關產品與服務
903,JURASSICPARKandDESIGN,電影片
904,STUDIOA,販售3C 商品及提供相關商品之維修服務
905,STUDIOA,販售3C 商品及提供相關商品之維修服務
906,Vlogo,眼鏡及其組件
907,Vlogo,傘
908,Vlogo,衣服、冠帽、領帶、拉鍊、皮件、旅行袋、傘具、床墊、枕、蓆、窗簾、家具、餐具、眼鏡、鐘錶及化粧品等商品
909,GGDEVICE,香水、面霜、化妝品、衣服、冠帽、領帶、靴鞋、皮夾、傘等商品
910,GGlogo,香水、面霜、化妝品、衣服、冠帽、領帶、靴鞋、皮夾、傘等商品
911,諾得HCNORITLE,膠囊、胃腸藥等商品及其相關服務
912,諾得,膠囊、胃腸藥等商品及其相關服務
913,AQUAGEN,人體用肥皂，香皂，香水，化粧品，清潔乳液，髮油，護髮劑，面霜，化粧水，化粧棉，潤膚油，香精油，洗髮精，潤髮乳，燙髮液，染髮劑，牙膏，按摩霜，去角質霜，敷面膜
914,格雷的五十道陰影,電影片、書籍等商品
915,APPLE,電腦軟硬體及其周邊設備等商品或服務
916,APPLELOGO,電腦軟硬體及其周邊設備等商品或服務
917,蘋果,電腦軟硬體及其周邊設備等商品或服務
918,APPLE蘋果,電腦軟硬體及其周邊設備等商品或服務
919,REDBULL,能量飲料等商品
920,DoubleBullDevice,能量飲料等商品
921,REDBULL,能量飲料等商品
922,DoubleBullDevice,能量飲料等商品
923,GGDEVICE,香水、面霜、化妝品、衣服、冠帽、領帶、靴鞋、皮夾、傘等商品
924,GGlogo,香水、面霜、化妝品、衣服、冠帽、領帶、靴鞋、皮夾、傘等商品
925,阿凡達Avatar,電影片
926,ROMEROBRITTO,藝術創作服務及所產製藝術品
927,BRITTO,藝術創作服務及所產製藝術品
928,N°5,香水等商品
929,N°5,香水等商品
930,RENOWN,襪類、衣服等商品
931,THERMOS,保溫瓶( 杯)、燜燒鍋等商品
932,F1FORMULA1PLUSDEVICE,舉辦賽車活動及促銷相關賽車活動等商品或服務
933,FFORMULA1,舉辦賽車活動及促銷相關賽車活動等商品或服務
934,FFormula1,舉辦賽車活動及促銷相關賽車活動等商品或服務
935,VISA,發行信用卡服務及藉由特約卡（折扣卡）之使用來促銷他人服務及商品等相關金融服務
936,KAWASAKI,車輛、機械、工程建設等商品或有關服務
937,APPLE,電腦軟硬體及其周邊設備等商品或服務
938,APPLELOGO,電腦軟硬體及其周邊設備等商品或服務
939,蘋果Apple,電腦軟硬體及其周邊設備等商品或服務
940,PRDEVICE,香水商品
941,F1,衣服、服飾配件等周邊商品
942,F1FORMULA1PLUSDEVICE,衣服、服飾配件等周邊商品
943,form-stripStripes,靴、鞋、運動鞋
944,FormstripDevice,靴鞋、運動鞋
945,7-ElevenandDesignincolor,超級市場、百貨公司、便利商店、超級商店
946,呷七碗,油飯商品及相關餐飲服務
947,LANDROVER,陸上交通工具等商品
948,RANGEROVER,陸上交通工具等商品
949,Facebook,社群網站服務
950,FacebookLogo,社群網站服務
951,CHANEL,香水、化妝品、服飾、手錶、眼鏡、皮包等商品
952,香奈兒,香水、化妝品、服飾、手錶、眼鏡、皮包等商品
